cv_fold,epoch,train_loss,val_MAE,val_RMSE,val_R2,val_finite_fraction,val_Pearson,val_Spearman,val_pred_model_min,val_pred_model_max
1,1,0.5864792261672938,67.6617519376989,82.41986320925298,-2.642963602807042,1.0,0.03468677838980942,-0.17310440308833264,3.395277738571167,9.74884033203125
1,2,0.13351855213301947,68.21337119303251,83.82215068746792,-2.767980553221244,1.0,-0.054756328453576426,-0.2420387083719519,3.2810473442077637,9.20431900024414
1,3,0.11676461734699473,77.59835256794042,95.59825201149448,-3.9010705728365247,1.0,-0.09957766625368589,-0.2769867464383434,3.263115167617798,8.861082077026367
1,4,0.10802213458698465,78.52414021358156,97.08945581438925,-4.055163273378437,1.0,-0.05495254750558738,-0.233575548523987,3.346665859222412,8.633257865905762
1,5,0.09992990991777669,68.96696174906012,86.29402806110949,-2.993489405359852,1.0,-0.057472549532804625,-0.20823737245035978,3.43007230758667,8.894171714782715
1,6,0.09333895958873353,63.71888279412922,77.02731967728712,-2.1818567637972106,1.0,-0.09042571655956247,-0.24574277744567727,3.394390344619751,8.182577133178711
1,7,0.08573363512060819,87.67815268483078,105.65326150082798,-4.986277839918214,1.0,-0.034268488407388706,-0.18443038128842845,3.596292495727539,8.33948040008545
1,8,0.08147908135303901,66.87570963491473,83.0504480913126,-2.698920637479175,1.0,-0.12350669086567073,-0.26448135170068193,3.516752243041992,7.715621471405029
1,9,0.0787720114435247,77.18837562878926,95.75757392852026,-3.9174202155257074,1.0,-0.08989006833506774,-0.22517904661917051,3.4350218772888184,7.838113307952881
1,10,0.07367344362340894,65.66870182790254,80.67032643038553,-2.4899457978224664,1.0,-0.0031350730025450435,-0.13457288717119056,3.553208827972412,7.465696811676025
1,11,0.070421944570695,71.55138034502666,88.12369643899792,-3.164630400079063,1.0,-0.03141866421017432,-0.1723614027035773,3.605236530303955,7.534370422363281
1,12,0.06738348103920866,57.676504453859835,70.77624247362694,-1.686371415219969,1.0,-0.11795435032352766,-0.23510223155611182,3.2877564430236816,6.807736873626709
1,13,0.06559922902214456,62.09414409252635,77.29629200102318,-2.20411706451831,1.0,-0.024731259866865585,-0.1531173657040025,3.4703567028045654,7.043357849121094
1,14,0.0618624205718274,59.84499500191003,73.57721359969744,-1.9032051605687612,1.0,0.031202273771765668,-0.11226673270428011,3.486009120941162,7.430871486663818
1,15,0.059291389135229876,56.145131120012515,69.51772600997222,-1.5916847208821716,1.0,-0.0015171749345633564,-0.14744586101621593,3.4409732818603516,7.33645486831665
1,16,0.058395717884783246,61.426265773605884,76.41520709523232,-2.131487210251784,1.0,-0.020338692207975323,-0.14354554404109335,3.5184996128082275,7.074318885803223
1,17,0.05730254673350161,64.65918797124895,80.29940026362159,-2.457925694311738,1.0,-0.04473458355137394,-0.1617760353955684,3.495940923690796,7.149242877960205
1,18,0.054882025923690306,59.31064069664269,72.77542249572045,-1.8402758699552506,1.0,-0.001688422579166475,-0.14995448323859673,3.504281997680664,7.0368971824646
1,19,0.05281762700726578,62.784309129045724,76.71145936191456,-2.1558150509535303,1.0,0.049675185621545825,-0.10207520108456467,3.562244415283203,7.232535362243652
1,20,0.04989750403039859,64.03342325729237,78.14170323541025,-2.274589008932825,1.0,-0.026555116930327742,-0.1607647848244967,3.5405988693237305,6.962736129760742
1,21,0.050133832311001734,64.10442514402824,79.43575838212668,-2.3839438309316483,1.0,-0.041849680919173515,-0.158909155438969,3.5564680099487305,6.841435432434082
1,22,0.04996371058772572,56.25852850545917,70.15875081990924,-1.6397010731127324,1.0,0.015405361412732837,-0.11399047611343839,3.539879083633423,6.636445999145508
1,23,0.04466170732373683,55.64742635241726,68.37037733854655,-1.506842257750007,1.0,-0.006988466642899441,-0.14689986208929107,3.446110963821411,6.39438009262085
1,24,0.044092172472347764,63.84574688376042,77.99552831788897,-2.262349319858581,1.0,0.01883239203422704,-0.12886791358566602,3.662177801132202,6.747870922088623
1,25,0.04420857356110298,60.57263773951614,74.34750786459675,-1.9643118109325828,1.0,0.05955341262868258,-0.08916026590133973,3.6052660942077637,6.870604515075684
1,26,0.04139443813952353,60.408768998698186,74.16957137720858,-1.95013976777778,1.0,0.00476749912782113,-0.14132845786573378,3.5005903244018555,6.851687908172607
1,27,0.041768959298343726,53.83009735291464,67.48287571396932,-1.4421830688669823,1.0,0.04324737909098909,-0.08887123178721301,3.4809083938598633,6.32657527923584
1,28,0.04011601130012323,52.043668068500985,63.17788279520128,-1.1405293596897716,1.0,0.013796519349076894,-0.12906031422335199,3.5695931911468506,6.079130172729492
1,29,0.039464738892587205,56.77334913906298,69.6097837948319,-1.5985532633178061,1.0,0.03857078350790434,-0.106790448853749,3.5864367485046387,6.358718395233154
1,30,0.03738544564879008,54.96993760912042,67.40711030334778,-1.436702296759342,1.0,-0.01397709291305571,-0.15169194096137115,3.5177550315856934,6.2349042892456055
1,31,0.037160513129880786,53.65365211503548,66.07320467387427,-1.341217686098867,1.0,0.04616636536177171,-0.1060528146850411,3.581012725830078,6.575169563293457
